antecedents,consequents,support,confidence,lift
"frozenset({'Area_Category_Large_Area', 'Bathroom_Category_Many_Bathrooms'})",frozenset({'Bedroom_Category_Many_Bedrooms'}),0.060153776571687016,0.7643678160919539,2.6954022988505746
"frozenset({'Parking_Category_Many_Parking', 'Price_Category_High'})",frozenset({'Bedroom_Category_Many_Bedrooms'}),0.0642243328810493,0.743455497382199,2.6216588591898597
"frozenset({'Area_Category_Medium_Area', 'Bathroom_Category_Many_Bathrooms'})",frozenset({'Bedroom_Category_Many_Bedrooms'}),0.06603346901854365,0.7411167512690356,2.6134117018434417
"frozenset({'Area_Category_Large_Area', 'Parking_Category_Many_Parking'})",frozenset({'Bedroom_Category_Many_Bedrooms'}),0.0506558118498417,0.7368421052631579,2.598337950138504
"frozenset({'Area_Category_Medium_Area', 'Bedroom_Category_Many_Bedrooms'})",frozenset({'Price_Category_High'}),0.0777928539122569,0.864321608040201,2.592964824120603
frozenset({'Bathroom_Category_Many_Bathrooms'}),frozenset({'Bedroom_Category_Many_Bedrooms'}),0.18588873812754408,0.7339285714285714,2.5880639097744362
frozenset({'Bedroom_Category_Many_Bedrooms'}),frozenset({'Bathroom_Category_Many_Bathrooms'}),0.18588873812754408,0.6555023923444976,2.588063909774436
"frozenset({'Parking_Category_Some_Parking', 'Price_Category_High'})",frozenset({'Bathroom_Category_Many_Bathrooms'}),0.08548168249660787,0.6517241379310345,2.573146551724138
"frozenset({'Area_Category_Large_Area', 'Price_Category_High'})",frozenset({'Bathroom_Category_Many_Bathrooms'}),0.052464947987336044,0.651685393258427,2.5729935794542538
"frozenset({'Parking_Category_Some_Parking', 'Bedroom_Category_Many_Bedrooms'})",frozenset({'Bathroom_Category_Many_Bathrooms'}),0.08005427408412483,0.6507352941176471,2.5692423844537813
"frozenset({'Area_Category_Small_Area', 'Bathroom_Category_Many_Bathrooms'})",frozenset({'Parking_Category_Some_Parking'}),0.05472636815920398,0.6797752808988765,2.50497191011236
"frozenset({'Area_Category_Small_Area', 'Bathroom_Category_Many_Bathrooms'})",frozenset({'Bedroom_Category_Many_Bedrooms'}),0.05698778833107191,0.7078651685393259,2.4961561206386755
"frozenset({'Parking_Category_Some_Parking', 'Bedroom_Category_Many_Bedrooms', 'Bathroom_Category_Many_Bathrooms'})",frozenset({'Price_Category_High'}),0.06648575305291723,0.8305084745762713,2.491525423728814
"frozenset({'Area_Category_Medium_Area', 'Bathroom_Category_Many_Bathrooms'})",frozenset({'Price_Category_High'}),0.07327001356852103,0.8223350253807107,2.467005076142132
frozenset({'Parking_Category_Many_Parking'}),frozenset({'Bedroom_Category_Many_Bedrooms'}),0.09090909090909091,0.6955017301038063,2.452558732471317
"frozenset({'Parking_Category_Some_Parking', 'Bathroom_Category_Many_Bathrooms'})",frozenset({'Bedroom_Category_Many_Bedrooms'}),0.08005427408412483,0.6833976833976834,2.409876041454989
"frozenset({'Area_Category_Small_Area', 'Bathroom_Category_Medium_Bathrooms'})",frozenset({'Parking_Category_Some_Parking'}),0.06558118498417007,0.6531531531531533,2.4068693693693697
"frozenset({'Parking_Category_Some_Parking', 'Price_Category_High'})",frozenset({'Bedroom_Category_Many_Bedrooms'}),0.08819538670284939,0.6724137931034482,2.3711433756805804
"frozenset({'Bathroom_Category_Many_Bathrooms', 'Bedroom_Category_Many_Bedrooms'})",frozenset({'Price_Category_High'}),0.14473089099954772,0.7785888077858881,2.3357664233576645
"frozenset({'Bedroom_Category_Medium_Bedrooms', 'Bathroom_Category_Medium_Bathrooms'})",frozenset({'Parking_Category_Some_Parking'}),0.05201266395296246,0.625,2.303125
"frozenset({'Parking_Category_Many_Parking', 'Bedroom_Category_Many_Bedrooms', 'Bathroom_Category_Many_Bathrooms'})",frozenset({'Price_Category_High'}),0.05563093622795115,0.7592592592592592,2.2777777777777777
"frozenset({'Parking_Category_Many_Parking', 'Bathroom_Category_Many_Bathrooms'})",frozenset({'Price_Category_High'}),0.06965174129353234,0.7586206896551725,2.275862068965518
frozenset({'Bathroom_Category_Medium_Bathrooms'}),frozenset({'Parking_Category_Some_Parking'}),0.10719131614654002,0.609254498714653,2.2451028277634966
"frozenset({'Area_Category_Medium_Area', 'Parking_Category_Some_Parking'})",frozenset({'Bathroom_Category_Many_Bathrooms'}),0.051560379918588875,0.5615763546798029,2.2172237860661506
"frozenset({'Parking_Category_Some_Parking', 'Bathroom_Category_Many_Bathrooms'})",frozenset({'Price_Category_High'}),0.08548168249660787,0.7297297297297297,2.1891891891891895
frozenset({'Price_Category_High'}),frozenset({'Bathroom_Category_Many_Bathrooms'}),0.18362731795567616,0.5508819538670285,2.1750000000000003
frozenset({'Bathroom_Category_Many_Bathrooms'}),frozenset({'Price_Category_High'}),0.18362731795567616,0.725,2.1750000000000003
frozenset({'Bedroom_Category_Medium_Bedrooms'}),frozenset({'Parking_Category_Some_Parking'}),0.09045680687471733,0.584795321637427,2.1549707602339185
"frozenset({'Area_Category_Medium_Area', 'Price_Category_High'})",frozenset({'Bathroom_Category_Many_Bathrooms'}),0.07327001356852103,0.5454545454545454,2.1535714285714285
"frozenset({'Parking_Category_Some_Parking', 'Bedroom_Category_Many_Bedrooms'})",frozenset({'Price_Category_High'}),0.08819538670284939,0.7169117647058824,2.150735294117647
"frozenset({'Parking_Category_Many_Parking', 'Bathroom_Category_Many_Bathrooms'})",frozenset({'Area_Category_Large_Area'}),0.054274084124830396,0.5911330049261084,2.1496629504796476
"frozenset({'Area_Category_Medium_Area', 'Bathroom_Category_Many_Bathrooms'})",frozenset({'Parking_Category_Some_Parking'}),0.051560379918588875,0.5786802030456853,2.1324365482233505
"frozenset({'Parking_Category_Many_Parking', 'Bedroom_Category_Many_Bedrooms'})",frozenset({'Price_Category_High'}),0.0642243328810493,0.7064676616915423,2.119402985074627
"frozenset({'Area_Category_Small_Area', 'Price_Category_High'})",frozenset({'Bedroom_Category_Many_Bedrooms'}),0.0673903211216644,0.5983935742971888,2.110124709363771
"frozenset({'Area_Category_Small_Area', 'Bedroom_Category_Many_Bedrooms'})",frozenset({'Parking_Category_Some_Parking'}),0.06512890094979647,0.5625,2.0728125
"frozenset({'Area_Category_Medium_Area', 'Parking_Category_Some_Parking'})",frozenset({'Price_Category_High'}),0.06286748077792854,0.6847290640394089,2.054187192118227
frozenset({'Bedroom_Category_Many_Bedrooms'}),frozenset({'Price_Category_High'}),0.19402985074626866,0.6842105263157895,2.0526315789473686
frozenset({'Price_Category_High'}),frozenset({'Bedroom_Category_Many_Bedrooms'}),0.19402985074626866,0.582089552238806,2.0526315789473686
"frozenset({'Area_Category_Medium_Area', 'Price_Category_High'})",frozenset({'Bedroom_Category_Many_Bedrooms'}),0.0777928539122569,0.5791245791245792,2.0421761474393056
"frozenset({'Area_Category_Small_Area', 'Bathroom_Category_Many_Bathrooms'})",frozenset({'Price_Category_High'}),0.05472636815920398,0.6797752808988765,2.0393258426966296
"frozenset({'Area_Category_Small_Area', 'Price_Category_High'})",frozenset({'Parking_Category_Some_Parking'}),0.06196291270918137,0.5502008032128515,2.027489959839358
"frozenset({'Parking_Category_Many_Parking', 'Bedroom_Category_Many_Bedrooms'})",frozenset({'Area_Category_Large_Area'}),0.0506558118498417,0.5572139303482587,2.026315789473684
"frozenset({'Price_Category_Medium', 'Parking_Category_Some_Parking'})",frozenset({'Area_Category_Small_Area'}),0.06377204884667571,0.8011363636363636,2.024357142857143
"frozenset({'Area_Category_Large_Area', 'Bathroom_Category_Many_Bathrooms'})",frozenset({'Price_Category_High'}),0.052464947987336044,0.6666666666666666,2.0
frozenset({'Parking_Category_Many_Parking'}),frozenset({'Price_Category_High'}),0.08638625056535504,0.6608996539792388,1.9826989619377164
"frozenset({'Price_Category_Medium', 'Area_Category_Medium_Area', 'Bathroom_Category_Few_Bathrooms'})","frozenset({'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms'})",0.06603346901854365,0.9668874172185432,1.9776022936819604
"frozenset({'Area_Category_Large_Area', 'Price_Category_Medium', 'Bathroom_Category_Few_Bathrooms'})","frozenset({'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms'})",0.07055630936227951,0.9570552147239264,1.957492210688808
frozenset({'Parking_Category_Many_Parking'}),frozenset({'Area_Category_Large_Area'}),0.06874717322478517,0.5259515570934257,1.9126297577854672
"frozenset({'Price_Category_Medium', 'Area_Category_Medium_Area', 'Bedroom_Category_Few_Bedrooms'})","frozenset({'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms'})",0.06603346901854365,0.9605263157894737,1.8944903516597023
"frozenset({'Area_Category_Large_Area', 'Price_Category_Medium', 'Bedroom_Category_Few_Bedrooms'})","frozenset({'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms'})",0.07055630936227951,0.9570552147239264,1.8876441389425525
"frozenset({'Area_Category_Large_Area', 'Bathroom_Category_Few_Bathrooms', 'Price_Category_Low'})","frozenset({'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms'})",0.0710085933966531,0.9181286549707602,1.877874612525764
